Morgan_Freeman;Jeffrey_DeMunn;Bob_Gunton
Al_Pacino;Marlon_Brando;Robert_Duvall
Kirsten_Dunst;Adam_Goldberg;Oliver_Platt
Christian_Bale;Heath_Ledger;Morgan_Freeman
Robert_De_Niro;Al_Pacino;Robert_Duvall
Clint_Eastwood;Luigi_Pistilli;Enzo_Petito
Jack_Warden;Lee_J._Cobb;John_Fiedler
Bruce_Willis;Eric_Stoltz;Phil_LaMarr
Liam_Neeson;Embeth_Davidtz;Caroline_Goodall
Orlando_Bloom;Billy_Boyd;Bernard_Hill
Brad_Pitt;Meat_Loaf;Eugenie_Bondurant
Christopher_Lee;Orlando_Bloom;Billy_Boyd
Harrison_Ford;Kenny_Baker;Anthony_Daniels
Tom_Hanks;Siobhan_Fallon_Hogan;Sam_Anderson
Rob_McElhenney;Kaitlin_Olson;Glenn_Howerton
Leonardo_DiCaprio;Tom_Hardy;Joseph_Gordon-Levitt
Elden_Henson;Royce_Johnson;Charlie_Cox
Alice_Braga;Seu_Jorge;Alexandre_Rodrigues
Scatman_Crothers;Michael_Berryman;Louise_Fletcher
Christopher_Lee;Orlando_Bloom;Billy_Boyd
Takashi_Shimura;Minoru_Chiaki;Kamatari_Fujiwara
Robert_De_Niro;Mike_Starr;Paul_Sorvino
Harrison_Ford;Peter_Cushing;Kenny_Baker
Keanu_Reeves;Marcus_Chong;Gloria_Foster
Zach_Gilford;Aimee_Teegarden;Scott_Porter
Ethan_Suplee;Beverly_D'Angelo;Stacy_Keach
Kevin_Spacey;Chazz_Palminteri;Kevin_Pollak
Paulette_Goddard;Stanley_Blystone;Fred_Malatesta
Donna_Reed;Lionel_Barrymore;Thomas_Mitchell
Bunta_Sugawara;Ryûnosuke_Kamiki;Miyu_Irino
Caroline_Dhavernas;Scott_Thompson;Hettienne_Park
Claudia_Cardinale;Woody_Strode;Jack_Elam
Tom_Hanks;Vin_Diesel;Matt_Damon
Morgan_Freeman;Brad_Pitt;Reg_E._Cathey
Ruth_Wilson;Indira_Varma;Warren_Brown
Matthew_McConaughey;Anne_Hathaway;Mackenzie_Foy
Peter_Mensah;Kelvin_Taylor;Viva_Bianca
Humphrey_Bogart;Claude_Rains;Conrad_Veidt
Anthony_Hopkins;Scott_Glenn;Anthony_Heald
Matthew_Broderick;Nathan_Lane;Niketa_Calame
Leonardo_DiCaprio;Matt_Damon;Ray_Winstone
Callum_Rennie;Thomas_Lennon;Jorja_Fox
Lea_Thompson;Thomas_F._Wilson;J.J._Cohen
Harrison_Ford;Marlon_Brando;Robert_Duvall
Christian_Bale;Hugh_Jackman;Scarlett_Johansson
Sebastian_Koch;Ulrich_Mühe;Martina_Gedeck
Djimon_Hounsou;Connie_Nielsen;Oliver_Reed
George_C._Scott;Slim_Pickens;Keenan_Wynn
Tom_Skerritt;Yaphet_Kotto;Bolaji_Badejo
Janet_Leigh;Vera_Miles;John_Gavin
Tom_Hardy;Christian_Bale;Joseph_Gordon-Levitt
Debi_Mazar;Kevin_Connolly;Kevin_Dillon
Harrison_Ford;Karen_Allen;William_Hootkins
Emilia_Fox;Frank_Finlay;Ed_Stoppard
Tom_Hanks;Jeffrey_DeMunn;Michael_Jeter
Leonardo_DiCaprio;Christoph_Waltz;Ato_Essandoh
Tobias_Menzies;Graham_McTavish;Stephen_Walters
J.K._Simmons;Melissa_Benoist;Chris_Mulkey
Joe_Morton;Jenette_Goldstein;S._Epatha_Merkerson
Mhairi_Calvey;Patrick_McGoohan;James_Robinson
Tamannaah_Bhatia;Anushka_Shetty;Prabhas
Harrison_Ford;Ian_McDiarmid;Kenny_Baker
Robert_De_Niro;Burt_Young;Treat_Williams
Robert_Duvall;Brock_Peters;William_Windom
Corbin_Bernsen;Dulé_Hill;Timothy_Omundson
Min-sik_Choi;Ji-tae_Yu;Hye-jeong_Kang
Kevin_Spacey;Peter_Gallagher;Ara_Celi
Scatman_Crothers;Shelley_Duvall;Joe_Turkel
Mathieu_Kassovitz;Jamel_Debbouze;Isabelle_Nanty
Claude_Rains;José_Ferrer;Jack_Hawkins
John_Ratzenberger;Fred_Willard;Jeff_Garlin
Minnie_Driver;Jada_Pinkett_Smith;Billy_Crudup
Ellen_Burstyn;Mark_Margolis;Louise_Lasser
Shahab_Hosseini;Leila_Hatami;Peyman_Moaadi
Anupam_Kher;Steven_Mackintosh;Madhavan
Christopher_Judge;Don_S._Davis;Gary_Jones
Michael_Biehn;Carrie_Henn;Jenette_Goldstein
Simon_Bird;Belinda_Stewart-Wilson;James_Buckley
Francis_Capra;Jason_Dohring;Enrico_Colantoni
David_Ogden_Stiers;Jamie_Farr;Mike_Farrell
Quentin_Tarantino;Steve_Buscemi;Chris_Penn
Jürgen_Prochnow;Martin_Semmelrogge;Herbert_Grönemeyer
Robert_De_Niro;Cathy_Moriarty;Frank_Vincent
Rita_Moreno;Debbie_Reynolds;Cyd_Charisse
Christian_Bale;Liam_Neeson;Morgan_Freeman
Jeffrey_Jones;F._Murray_Abraham;Tom_Hulce
Nehemiah_Persoff;Joe_E._Brown;George_Raft
Maximilian_Schell;Montgomery_Clift;Spencer_Tracy
Fred_MacMurray;Ray_Walston;David_White
Al_Pacino;F._Murray_Abraham;Mary_Elizabeth_Mastrantonio
Eileen_Brennan;Robert_Shaw;Ray_Walston
Thomas_Bo_Larsen;Alexandra_Rapaport;Hana_Shuan
Kate_Winslet;Kirsten_Dunst;Tom_Wilkinson
James_Coburn;Donald_Pleasence;Gordon_Jackson
